ShowID;"Show name";"Model ID";"Model Name";Collection;"Release date";Set
f1152;"Green In Black";1486;"Kylie Green";"iStripper XXX ";2022-09-07;http://g.isbnrs.com/f1152.zip
f1149;"Final Warning";1485;"Marie Berger";"iStripper XXX ";2022-09-02;http://g.isbnrs.com/f1149.zip
f1137;"Stranger Flings";1484;Milkavi;"iStripper XXX ";2022-09-06;http://g.isbnrs.com/f1137.zip
f1134;"Nerf This!";1483;"Ana B";"iStripper XXX ";2022-09-09;http://g.isbnrs.com/f1134.zip
f1130;"Feather Fantasy";1482;Alika;"iStripper XXX ";2022-09-13;http://g.isbnrs.com/f1130.zip
f1129;"La Danseuse Exotique";1482;Alika;"iStripper XXX ";2022-08-31;http://g.isbnrs.com/f1129.zip
f1128;"Hot In The Jungle";1482;Alika;"iStripper XXX ";2022-08-19;http://g.isbnrs.com/f1128.zip
f1124;Sensualité;1481;"Karina King";"iStripper XXX ";2022-09-09;http://g.isbnrs.com/f1124.zip
f1123;"Poolside Capers";1481;"Karina King";"iStripper XXX ";2022-08-26;http://g.isbnrs.com/f1123.zip
f1121;"Porn Star Light";1423;"Freya Mayer";"iStripper XXX ";2022-09-14;http://g.isbnrs.com/f1121.zip
f1120;"Squeezed In, Popping Out";1423;"Freya Mayer";"iStripper XXX ";2022-08-12;http://g.isbnrs.com/f1120.zip
f1117;"Black Lines";1423;"Freya Mayer";"iStripper XXX ";2022-08-30;http://g.isbnrs.com/f1117.zip
f1116;"Lovely Summer Dress";1423;"Freya Mayer";"iStripper XXX ";2022-08-23;http://g.isbnrs.com/f1116.zip
f1114;"Who Wants My Candy?";1427;"Sonya Blaze";"iStripper XXX ";2022-09-09;http://g.isbnrs.com/f1114.zip
f1113;"Super Sonya";1427;"Sonya Blaze";"iStripper XXX ";2022-08-25;http://g.isbnrs.com/f1113.zip
f1112;"Orange Sunset";1427;"Sonya Blaze";"iStripper XXX ";2022-08-09;http://g.isbnrs.com/f1112.zip
f1111;"Frilling the Bunny";1315;"Josephine Jackson";"iStripper XXX ";2022-09-02;http://g.isbnrs.com/f1111.zip
f1110;"Bake Off, Take Off";1315;"Josephine Jackson";"iStripper XXX ";2022-08-19;http://g.isbnrs.com/f1110.zip
f1108;"A Thrill In A Frill";1315;"Josephine Jackson";"iStripper XXX ";2022-09-12;http://g.isbnrs.com/f1108.zip
f1107;"Heat and Sand";1478;"Clara Mia";"iStripper XXX ";2022-08-22;http://g.isbnrs.com/f1107.zip
f1106;"Les Diaboliques";1480;"Clara Mia & Clemence Audiard";"iStripper XXX ";2022-08-10;http://g.isbnrs.com/f1106.zip
f1105;"The Insubordinate";1478;"Clara Mia";"iStripper XXX ";2022-09-02;http://g.isbnrs.com/f1105.zip
f1104;"Welcome To My Boudoir";1478;"Clara Mia";"iStripper XXX ";2022-07-29;http://g.isbnrs.com/f1104.zip
f1103;"A Trip In Capri";1477;"Moona Snake";"iStripper XXX ";2022-07-26;http://g.isbnrs.com/f1103.zip
f1102;"Sailor’s Tail";1477;"Moona Snake";"iStripper XXX ";2022-08-08;http://g.isbnrs.com/f1102.zip
f1101;"Ragazza Sensuale";1477;"Moona Snake";"iStripper XXX ";2022-08-19;http://g.isbnrs.com/f1101.zip
f1100;"Eclipsed By Lace";1477;"Moona Snake";"iStripper XXX ";2022-09-05;http://g.isbnrs.com/f1100.zip
f1099;"Coo Coo Ca Choo";1476;Geishakyd;"iStripper XXX ";2022-08-17;http://g.isbnrs.com/f1099.zip
f1098;"Sweet Summer Caress";1476;Geishakyd;"iStripper XXX ";2022-08-05;http://g.isbnrs.com/f1098.zip
f1097;"The Devil Unleashed";1476;Geishakyd;"iStripper XXX ";2022-07-15;http://g.isbnrs.com/f1097.zip
f1095;"Teeny Weeny Beady Bikini";1476;Geishakyd;"iStripper XXX ";2022-07-25;http://g.isbnrs.com/f1095.zip
f1094;"Love Is Blindness";1474;"Vanessa Alessia";"iStripper XXX ";2022-08-11;http://g.isbnrs.com/f1094.zip
f1092;"Itty Bitty Kitty";1474;"Vanessa Alessia";"iStripper XXX ";2022-07-21;http://g.isbnrs.com/f1092.zip
f1091;"Showing A Little Pink";1474;"Vanessa Alessia";"iStripper XXX ";2022-07-29;http://g.isbnrs.com/f1091.zip
f1090;"Kiss With A Fist";1473;"Christy White & Eve Sweet";"iStripper XXX ";2022-06-30;http://g.isbnrs.com/f1090.zip
f1089;"White Hot Sand";1439;"Christy White";"iStripper XXX ";2022-07-22;http://g.isbnrs.com/f1089.zip
